package_id,county_count,record_count
cvvsjb41fmq000c5ngeg,2,2
cvnivq0h3d7g00bkg4t0,2,2
cvqjvucclak0009ttfq0,2,2
d004guob12i0008cbvug,2,2
cvqjqtp0p0eg00ecj8e0,2,2
cvnj00bpp0p000eij7vg,2,2
cvnk1vp0p0eg00e6bosg,2,2
d04hr2mjsr2g00antlo0,2,2
cvra7j6o773g00926vpg,2,2
d07ptn4ifud000b7frfg,2,2
d00jh9kaa58000cnltqg,2,2
cvvshvvmrfo000b5clu0,2,2
d04hrmedqm9g00aotuug,2,2
d03rmvmo773g00bcd1pg,2,2
d05vnd4s3cjg008cb2p0,2,2
cvnium4mmp3000faafqg,2,2
d00jgmacalk000ecufhg,2,2
d00jdemo773g00a4d5cg,2,2
cvvs88cclak000atd8g0,2,2
d04hvb4s10rg009ifb6g,2,2
cv5ke6nu7la000beq360,2,2
cvvs9lgh3d7g00cq90eg,2,2
d1133qur45p000dvf580,2,2
cvnjg0bpp0p000eija10,2,2
cvnjhf2calk000d0m2l0,2,2
d04kc6tlhp0g009n6mvg,2,2
d5eqmpui2fk000adqcvg,2,2
cvv7ptbpuid000b4nu80,2,2
cvvbq679vfn000cqmie0,2,2
d00542s1fmq000c8p4jg,2,2
d004f9qdvnk0009afqvg,2,2
d2t351vpcljg00a9104g,2,2
cvvrqt0sssgg00dpm3vg,2,2
cvqlhpks10rg00evgkq0,2,2
cvkpla9u4pg0008rnei0,2,2
d00hvfgb12i0008g8f20,2,2
cvvef8lpebk000cbtgs0,2,2
d07ptr527ee00099d4e0,2,2
d07pq76omc2g00f76oi0,2,2
cvu1evosssgg00ddsba0,2,2
cvvbprp0qf8g008a4390,2,2
d04i4t8h3d7g00edo82g,2,2
cvumc6nmrfo000aupu8g,2,2
cvnk0hqgb1c0008tvu6g,2,2
cvvshjrpp0p000foa3p0,2,2
cvvs6v8sssgg00dpmepg,2,2
cvumfqoh3d7g00cjm1q0,2,2
cvnj2279vfn000brgn40,2,2
cusd3nlkr9kg00btivb0,2,2
