Directory,Size_Bytes
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e5,99196701
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e6,23890255
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e7,6824389
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e8,1358120
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ea,204806068
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00eb,14735008
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ec,5513373
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ed,7420268
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ee,22631195
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ef,4759392
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f0,7099568
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f1,2824663
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f2,8458397
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f3,26978007
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f4,14558505
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f5,951373
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f6,41299189
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f7,20504593
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f8,33962255
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00f9,14560318
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00fa,9423332
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00fb,10774472
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00fc,7528237
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00fd,15665138
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00fe,5722881
