RecordID,CountyID,LandDescriptionID,BriefLegal,Subdivision,Lot,Block,AbstractName,AcreageByTract,QuarterCalls,Remarks
32d69bc7-6943-4f23-9002-5da793a49c87,221,e08e9781-a76c-47c6-a290-b2ba9bef4721,311.74AC S/2 SEC 41 LAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
f1e4b7f1-2c2d-4501-a469-d580a6d3c9d0,221,e090611a-d87b-4bee-af7f-45428aa6f631,51.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8e59d249-85ad-4e0e-81c0-3d3943e0709d,221,e099571a-9347-46e5-8414-ac7fb8e64cd5,SMITH W M 517 8.9920 acres,NULL,NULL,NULL,NULL,8.9920,NULL,NULL
a0d5b0a0-069f-43e3-9d00-e6778b09dd35,221,e09fda4f-b480-4542-8d4a-7f4fc4e2e276,370.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a39fa833-aed0-425c-9665-da6639501a1d,221,e0a2532d-fbfc-4d6e-ba6e-8d2e26ee3fa5,NABERS J A 81.7560 acres,NULL,NULL,NULL,NULL,81.7560,NULL,NULL
e0412887-945a-4fa4-af71-29f9a7f68c05,221,e0bdc98e-84ef-4730-aeff-6f70bb3bc8df,HEINZE RANCH ESTATES AT LAKE ABILENE 5 7.2400 acres,HEINZE RANCH ESTATES AT LAKE ABILENE,5,NULL,NULL,7.2400,NULL,NULL
a8986d21-0284-4171-984e-a1f99b0f645f,221,e0cedad5-d576-424c-bec9-69df762404fa,OVALO TOWN OF 5 12,OVALO TOWN OF,12,5,NULL,NULL,NULL,NULL
35e7132f-7b8e-46ca-9098-4775972a91f0,221,e0d04f0b-a464-43b5-9c85-03f0c6845d84,A-1366 GARNER T C,NULL,NULL,NULL,1366,NULL,NULL,NULL
bdb3eabc-eed4-4521-9b81-b6ff7511fffa,221,e0d663ab-92bf-4ffa-84df-c0d54143da3c,A-806 MINTER J R 8 SW 12.5450 acres,NULL,NULL,NULL,806,12.5450,SW,NULL
a8986d21-0284-4171-984e-a1f99b0f645f,221,e0e2872b-4318-456d-bc19-7d4197f15232,OVALO TOWN OF 97 1,OVALO TOWN OF,1,97,NULL,NULL,NULL,NULL
9d1f097b-abee-4be2-80e3-5caf1a0369f6,221,e0e52b55-538b-48ce-90e3-9575e38a271c,VOL 217 PAGE 457,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b420b916-77d5-49b4-b6ee-41a86442872d,221,e0eaf9dc-d3fa-4930-bacd-31d87a49d0e9,SOUTH HAVEN ESTATES SECTION 2 A 28,SOUTH HAVEN ESTATES SECTION 2,28,A,NULL,NULL,NULL,NULL
8c6faf6e-6192-42a2-819a-ac8fb8761000,221,e0ec2e0f-5a32-4458-a3e6-54bec1813f62,A-776 KELLEY C A 14 NW 55.5410 acres,NULL,NULL,NULL,776,55.5410,NW,NULL
bebc7062-8fb1-47c6-bfd7-8a0fd769e949,221,e0eec98d-55a0-457b-8a10-ad4066d54851,A-777 KELLEY J A 14 SW 49.3160 acres,NULL,NULL,NULL,777,49.3160,SW,NULL
7071a857-33b9-4a4a-8d16-918eee98ac42,221,e0ef2ead-6d19-43a3-b640-9b427d6aa501,SEE RECORD,NULL,NULL,NULL,NULL,NULL,NULL,NULL
851b10ac-d3b9-456d-8ef7-2a654faa8674,221,e0f68d21-6e7e-48cf-bbd1-75c6a8efbb77,HOLIDAY HILLS ADDITION SECTION 1 CONTINUATION OF H 25,HOLIDAY HILLS ADDITION SECTION 1 CONTINUATION OF,25,H,NULL,NULL,NULL,NULL
4df02708-a6df-4b18-8e31-9ceac6394105,221,e0fbb3fe-5c4c-451d-998e-e474a7fddbab,WATERSIDE AT WYNDHAM ADDITION SECTION 1 AMEND PLAT D 3,WATERSIDE AT WYNDHAM ADDITION SECTION 1 AMEND PLAT,3,D,NULL,NULL,NULL,NULL
5c4637c0-566f-42f1-86f2-cca56760b285,221,e0fc4564-9f84-43ff-a045-46cedbd7e60c,LT13-15 BK 23 OT MERKEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b21e451a-deca-486c-92b4-0831dc02cd7e,221,e0fddb71-482c-478b-832b-f826258c08df,HARRIS ADDITION 23 1 0.6260 acres,HARRIS ADDITION,1,23,NULL,0.6260,NULL,NULL
