RecordID,in_CS_Digital,in_countyScansTitle,in_courthousedirecttitle,verdict
d3289471-3573-4d51-8237-d10f87f93b16,NO,NO,NO,true_orphan
1b681573-1e51-4403-b04a-763028809f1d,NO,NO,NO,true_orphan
b60ce113-d589-4140-8e3e-9cf94b26614b,NO,NO,NO,true_orphan
2dd2a757-2317-4d75-b582-bede0732bd3f,NO,NO,NO,true_orphan
eb602aff-250e-4edf-82b2-aed159a03eb6,NO,NO,NO,true_orphan
b2bcfcb8-6dfd-4c20-b0ae-c10b26048d5e,NO,NO,NO,true_orphan
6b1469ec-2696-48b6-91b5-04f86f0f118c,NO,NO,NO,true_orphan
bbeebcdd-1921-4124-addd-4790d8d1339e,NO,NO,NO,true_orphan
0b43bb76-fdf2-4f3e-8327-974451042837,NO,NO,NO,true_orphan
ba7e45b9-fb96-49e0-af19-c09f9cd713c5,NO,NO,NO,true_orphan
40c11456-38b0-4fb7-8ee9-e9b9784105a1,NO,NO,NO,true_orphan
a58f54a6-0c2e-4268-8d66-1246b8641dd9,NO,NO,NO,true_orphan
905a91dd-be2f-4795-a667-3b8c4ec57696,NO,NO,NO,true_orphan
de5852a2-08a7-402e-a44d-6d66fe6cd096,NO,NO,NO,true_orphan
760eed70-7a06-4fb1-96ab-e553a0ddd875,NO,NO,NO,true_orphan
f8c5637d-ab98-4502-b5ee-040e7c4428f3,NO,NO,NO,true_orphan
9e61cf17-4506-4468-9802-6af75de9e2a2,NO,NO,NO,true_orphan
4fb4b422-cd53-4f6e-ba1d-1e5f9919f5df,NO,NO,NO,true_orphan
cdb613bb-fc3f-4a31-878d-6e553501ac67,NO,NO,NO,true_orphan
aab6230f-f1d3-4136-be82-2c875c3a597b,NO,NO,NO,true_orphan
0e094a0f-cb93-4ce1-97b5-529f40cd8cd7,NO,NO,NO,true_orphan
a1ac4032-e771-440b-ba05-f041091d8a8d,NO,NO,NO,true_orphan
9e7b0aeb-bdb9-4751-9dc2-6356680bee7d,NO,NO,NO,true_orphan
4f6bbe13-efca-42eb-adcb-78a5459e34fe,NO,NO,NO,true_orphan
